tconst,Genre
tt0059978,Drama
tt0059982,Comedy
tt0059983,Crime
tt0059984,Action
tt0059988,Action
tt0059990,Mystery
tt0059991,Action
tt0059992,Crime
tt0059995,Comedy
tt0059996,Western
tt0059997,Comedy
tt0059999,Drama
tt0060002,Animation
tt0060003,Comedy
tt0060004,Animation
tt0060005,Action
tt0060008,Comedy
tt0060009,Action
tt0060010,Comedy
tt0060011,Western
tt0060012,Action
tt0060013,Comedy
tt0060016,Comedy
tt0060017,Comedy
tt0060018,Action
tt0060024,Western
tt0060026,Action
tt0060028,Action
tt0060029,Adventure
tt0060030,Adventure
tt0060033,Action
tt0060034,Comedy
tt0060035,Comedy
tt0060036,Action
tt0060037,Action
tt0060038,Action
tt0060040,Comedy
tt0061233,Comedy
tt0061237,Action
tt0061238,Crime
tt0061239,Comedy
tt0061240,Comedy
tt0061241,Western
tt0061242,Drama
tt0061244,Western
tt0061247,Comedy
tt0061248,Crime
tt0061249,Western
tt0061250,Action
tt0061252,Comedy
tt0061253,Drama
tt0061254,Adventure
tt0061255,Adventure
tt0061256,Adventure
tt0061257,Comedy
tt0061258,Family
tt0061259,Western
tt0061261,Comedy
tt0061262,Adventure
tt0061263,Western
tt0061264,Western
tt0061265,Drama
tt0061266,Crime
tt0061268,Talk-Show
tt0061271,Drama
tt0061277,Action
tt0061278,Adventure
tt0061280,Comedy
tt0061281,Comedy
tt0061282,Crime
tt0061287,Drama
tt0061288,Comedy
tt0061289,Adventure
tt0061293,Comedy
tt0061296,Comedy
tt0061300,Action
tt0061301,Action
tt0062539,Crime
tt0062541,Animation
tt0062543,Adventure
tt0062544,Action
tt0062547,Comedy
tt0062548,Drama
tt0062551,Adventure
tt0062552,Comedy
tt0062558,Comedy
tt0062559,Adventure
tt0062560,Comedy
tt0062565,Comedy
tt0062566,Animation
tt0062568,Crime
tt0062569,Adventure
tt0062570,Comedy
tt0062572,Action
tt0062573,Adventure
tt0062574,Drama
tt0062575,Comedy
tt0062577,Western
tt0062578,Sci-Fi
tt0062583,Crime
tt0062585,Action
tt0062587,Comedy
tt0062588,Family
tt0062589,Action
tt0062591,Adventure
tt0062593,Adventure
tt0062596,Western
tt0062597,Crime
tt0062598,Adventure
tt0062599,Drama
tt0062601,Comedy
tt0062608,Comedy
tt0063866,Comedy
tt0063869,Comedy
tt0063871,Comedy
tt0063873,Drama
tt0063874,Drama
tt0063875,Drama
tt0063877,Drama
tt0063878,Comedy
tt0063887,Comedy
tt0063889,Animation
tt0063890,Talk-Show
tt0063893,Action
tt0063894,Music
tt0063895,Comedy
tt0063896,Adventure
tt0063897,Action
tt0063905,Comedy
tt0063907,Adventure
tt0063908,Comedy
tt0063910,Adventure
tt0063913,Comedy
tt0063919,Music
tt0063920,Crime
tt0063924,Comedy
tt0063925,Comedy
tt0063927,Drama
tt0063928,Drama
tt0063929,Comedy
tt0063930,Comedy
tt0063934,Comedy
tt0063936,Comedy
tt0063938,Adventure
tt0063939,Animation
tt0063946,Action
